Name MC(RUB) MP
Bitcoin_(Биткоин) 116,665,524,039,530 55.73%
Ethereum_(Эфириум) 38,042,762,013,074 18.17%
Tether_(Тезер) 9,991,211,051,532 4.77%
BNB 7,958,639,169,637 3.8%
Solana_(Солана) 5,965,451,129,759 2.85%
USDC 2,885,395,223,157 1.38%
XRP 2,453,193,543,609 1.17%
Dogecoin_(Догекоин) 1,753,696,358,649 0.84%
Toncoin_(Тонкоин) 1,717,237,719,977 0.82%
Cardano_(Кардано) 1,313,752,362,694 0.63%
Shiba_Inu_(Шиба-ину) 1,088,291,792,091 0.52%
Avalanche_(Аваланч) 1,052,187,376,203 0.5%
TRON_(ТРОН) 893,927,552,281 0.43%
Polkadot_(Полькадот) 791,401,788,069 0.38%
Chainlink_(Чейнлинк) 776,523,078,730 0.37%
Bitcoin_Cash_(Биткоин-кэш) 757,266,843,855 0.36%
Uniswap_(Юнисвап) 614,912,735,232 0.29%
NEAR_Protocol 544,504,385,459 0.26%
Polygon_(Полигон) 537,616,879,218 0.26%
Litecoin_(Лайткоин) 528,631,511,131 0.25%
UNUS_SED_LEO 482,047,825,213 0.23%
Dai 474,992,750,953 0.23%
Pepe 450,578,911,177 0.22%
Internet_Computer_(Интернет-компьютер) 380,864,536,193 0.18%
Ethereum_Classic 332,741,184,760 0.16%
Kaspa 328,292,455,826 0.16%
Aptos 315,625,532,725 0.15%
Monero 286,450,672,264 0.14%
Render 278,351,354,676 0.13%
Hedera 270,247,303,518 0.13%
Filecoin 260,655,062,377 0.12%
Mantle 257,914,937,247 0.12%
Stacks 255,497,210,021 0.12%
Stellar 254,708,273,222 0.12%
Cosmos 248,748,339,299 0.12%
OKB 245,783,604,747 0.12%
Arbitrum 236,419,246,644 0.11%
Cronos 233,717,756,787 0.11%
Immutable 230,971,025,059 0.11%
dogwifhat 226,487,151,867 0.11%
First_Digital_USD 225,924,372,259 0.11%
Injective 208,814,181,225 0.1%
Sui 203,358,395,238 0.1%
Optimism 199,553,650,166 0.1%
The_Graph 198,955,535,522 0.1%
Maker 193,808,549,118 0.09%
Bittensor 190,692,186,987 0.09%
VeChain 187,376,652,299 0.09%
Notcoin 186,182,420,863 0.09%
FLOKI 173,527,697,797 0.08%
Arweave 165,657,134,059 0.08%
Lido_DAO 159,320,697,994 0.08%
Fantom 156,515,682,588 0.07%
JasmyCoin 154,998,389,099 0.07%
Bonk 153,665,124,767 0.07%
Theta_Network 151,054,142,188 0.07%
Ondo 147,268,283,320 0.07%
Bitget_Token 144,652,300,161 0.07%
THORChain 139,494,231,923 0.07%
Celestia 133,395,289,025 0.06%
Brett_(Based) 131,326,687,851 0.06%
Core 123,913,230,749 0.06%
Pyth_Network 114,362,362,009 0.05%
Sei 112,310,756,124 0.05%
Aave 112,248,037,489 0.05%
Algorand 111,868,990,437 0.05%
Fetch.ai 110,011,467,962 0.05%
Starknet 108,447,455,105 0.05%
Jupiter 104,880,576,717 0.05%
Flare 102,828,971,782 0.05%
Ethena 101,385,066,358 0.05%
Flow 97,518,259,119 0.05%
Gala 93,461,216,046 0.04%
Quant 89,260,773,297 0.04%
KuCoin_Token 88,735,152,790 0.04%
Axie_Infinity 87,393,014,738 0.04%
Bitcoin_SV 86,637,746,941 0.04%
BitTorrent_[New] 86,369,276,833 0.04%
ORDI 85,290,536,339 0.04%
Beam 85,322,036,992 0.04%
dYdX_(Native) 81,089,235,266 0.04%
MultiversX 79,919,476,297 0.04%
Neo 79,831,543,428 0.04%
Chiliz 79,731,717,246 0.04%
The_Sandbox 78,003,181,988 0.04%
Ronin 75,739,595,220 0.04%
Gnosis 75,488,449,258 0.04%
Pendle 74,798,623,588 0.04%
Worldcoin 73,501,148,492 0.04%
Oasis 73,600,099,127 0.04%
Wormhole 72,489,178,262 0.03%
Tezos 71,499,325,377 0.03%
Akash_Network 72,000,671,194 0.03%
SingularityNET 71,190,958,977 0.03%
GateToken 70,294,620,998 0.03%
Conflux 68,738,308,296 0.03%
Nexo 66,971,607,438 0.03%
EOS 66,341,941,214 0.03%
Ethereum_Name_Service 66,210,746,134 0.03%
Decentraland 65,842,293,598 0.03%
