Name MC(RUB) MP
Bitcoin_(Биткоин) 114,618,939,166,505 55.74%
Ethereum_(Эфириум) 37,564,611,247,174 18.27%
Tether_(Тезер) 9,954,545,247,591 4.84%
BNB 7,858,069,560,007 3.82%
Solana_(Солана) 5,875,575,618,876 2.86%
USDC 2,873,269,896,146 1.4%
XRP 2,469,294,688,824 1.2%
Dogecoin_(Догекоин) 1,713,044,529,452 0.83%
Toncoin_(Тонкоин) 1,682,028,621,530 0.82%
Cardano_(Кардано) 1,277,112,107,161 0.62%
Shiba_Inu_(Шиба-ину) 1,037,163,952,753 0.5%
Avalanche_(Аваланч) 992,551,196,916 0.48%
TRON_(ТРОН) 904,072,497,857 0.44%
Polkadot_(Полькадот) 790,326,856,361 0.38%
Chainlink_(Чейнлинк) 745,187,462,981 0.36%
Bitcoin_Cash_(Биткоин-кэш) 725,921,077,429 0.35%
Uniswap_(Юнисвап) 585,207,234,070 0.28%
Polygon_(Полигон) 524,537,514,062 0.26%
Litecoin_(Лайткоин) 512,193,078,584 0.25%
NEAR_Protocol 508,383,557,954 0.25%
Dai 473,205,758,007 0.23%
UNUS_SED_LEO 470,797,330,429 0.23%
Pepe 430,252,795,715 0.21%
Internet_Computer_(Интернет-компьютер) 365,436,017,976 0.18%
Kaspa 323,239,110,744 0.16%
Ethereum_Classic 318,127,911,921 0.15%
Aptos 300,591,030,318 0.15%
Monero 284,510,521,011 0.14%
Render 265,459,326,653 0.13%
Hedera 259,163,652,138 0.13%
Filecoin 253,277,249,932 0.12%
Stellar 251,205,990,025 0.12%
Mantle 248,237,778,307 0.12%
Cosmos 242,282,197,762 0.12%
OKB 241,108,906,881 0.12%
Stacks 228,733,485,009 0.11%
Cronos 225,302,364,617 0.11%
Arbitrum 224,746,572,334 0.11%
First_Digital_USD 223,238,027,291 0.11%
Immutable 209,387,092,659 0.1%
dogwifhat 208,459,168,658 0.1%
Maker 193,297,812,024 0.09%
Sui 193,059,283,260 0.09%
Optimism 192,430,141,641 0.09%
Injective 185,964,482,855 0.09%
Bittensor 182,656,132,145 0.09%
The_Graph 181,584,705,053 0.09%
VeChain 177,382,707,317 0.09%
Lido_DAO 166,498,505,110 0.08%
Notcoin 164,182,855,785 0.08%
FLOKI 157,839,209,776 0.08%
JasmyCoin 155,615,197,206 0.08%
Arweave 154,350,391,040 0.08%
Fantom 147,669,382,721 0.07%
Bitget_Token 140,012,359,643 0.07%
Bonk 139,716,819,909 0.07%
Theta_Network 136,010,321,313 0.07%
Ondo 132,963,188,029 0.06%
THORChain 130,062,471,004 0.06%
Celestia 126,642,944,805 0.06%
Brett_(Based) 126,431,484,939 0.06%
Core 124,340,027,834 0.06%
Aave 110,134,994,392 0.05%
Algorand 107,192,603,507 0.05%
Pyth_Network 107,183,985,938 0.05%
Sei 103,198,258,241 0.05%
Jupiter 102,419,866,360 0.05%
Flare 98,514,295,042 0.05%
Starknet 97,111,051,111 0.05%
Fetch.ai 96,559,499,994 0.05%
Ethena 93,111,184,092 0.05%
Flow 89,339,997,453 0.04%
KuCoin_Token 86,237,149,399 0.04%
Quant 85,322,989,431 0.04%
Gala 84,810,869,057 0.04%
zkSync 83,193,105,558 0.04%
Beam 83,057,558,762 0.04%
Bitcoin_SV 82,804,487,888 0.04%
Axie_Infinity 81,588,082,671 0.04%
ORDI 78,225,521,012 0.04%
BitTorrent_[New] 77,592,412,415 0.04%
MultiversX 75,548,770,891 0.04%
dYdX_(Native) 75,528,433,660 0.04%
Gnosis 74,226,957,346 0.04%
Chiliz 73,210,374,887 0.04%
Neo 72,946,000,016 0.04%
Pendle 71,512,048,184 0.03%
Ronin 71,384,674,067 0.03%
The_Sandbox 70,716,408,633 0.03%
GateToken 68,721,539,782 0.03%
Worldcoin 68,326,534,643 0.03%
Tezos 67,336,809,961 0.03%
Conflux 66,407,314,353 0.03%
Wormhole 65,859,888,217 0.03%
Nexo 65,584,473,127 0.03%
Akash_Network 65,186,915,303 0.03%
USDD 64,710,827,398 0.03%
Ethereum_Name_Service 64,633,926,039 0.03%
Oasis 63,321,505,562 0.03%
EOS 62,332,408,816 0.03%
