Name MC(RUB) MP
Bitcoin_(Биткоин) 106,824,549,076,506 55.65%
Ethereum_(Эфириум) 36,295,603,293,720 18.91%
Tether_(Тезер) 9,398,449,319,560 4.90%
BNB 7,357,718,601,145 3.83%
Solana_(Солана) 5,217,030,301,439 2.72%
USDC 2,740,493,058,861 1.43%
XRP 2,287,197,896,026 1.19%
Dogecoin_(Догекоин) 1,472,285,687,486 0.77%
Toncoin_(Тонкоин) 1,413,364,128,720 0.74%
Cardano_(Кардано) 1,144,583,767,374 0.60%
Shiba_Inu_(Шиба-ину) 888,298,823,816 0.46%
Avalanche_(Аваланч) 883,110,805,231 0.46%
TRON_(ТРОН) 843,183,265,177 0.44%
Chainlink_(Чейнлинк) 701,266,789,807 0.37%
Polkadot_(Полькадот) 694,849,849,590 0.36%
Bitcoin_Cash_(Биткоин-кэш) 640,830,199,026 0.33%
Uniswap_(Юнисвап) 499,967,326,755 0.26%
Polygon_(Полигон) 475,729,908,914 0.25%
Litecoin_(Лайткоин) 458,655,123,900 0.24%
NEAR_Protocol 450,214,835,957 0.23%
Dai 446,534,142,551 0.23%
UNUS_SED_LEO 442,537,471,423 0.23%
Pepe 396,990,113,538 0.21%
Internet_Computer_(Интернет-компьютер) 325,500,965,122 0.17%
Ethereum_Classic 294,972,527,594 0.15%
Kaspa 287,486,935,195 0.15%
Aptos 259,363,331,635 0.14%
Monero 259,301,863,857 0.14%
Render 248,041,878,017 0.13%
Hedera 239,805,561,397 0.12%
Stellar 226,902,938,866 0.12%
Cosmos 224,735,329,898 0.12%
Mantle 224,078,122,119 0.12%
Arbitrum 219,280,719,952 0.11%
OKB 214,629,592,692 0.11%
Filecoin 208,614,901,054 0.11%
Cronos 207,842,668,615 0.11%
Stacks 199,438,032,777 0.10%
First_Digital_USD 197,789,776,039 0.10%
Immutable 193,255,498,310 0.10%
Maker 192,463,978,818 0.10%
Optimism 178,218,950,333 0.09%
VeChain 175,715,874,926 0.09%
Sui 175,100,476,410 0.09%
Bittensor 173,383,247,643 0.09%
The_Graph 173,398,433,000 0.09%
Lido_DAO 173,064,681,235 0.09%
dogwifhat 167,843,100,574 0.09%
Injective 163,870,879,278 0.09%
Arweave 146,978,610,177 0.08%
Ondo 139,029,426,989 0.07%
FLOKI 135,689,562,132 0.07%
Bitget_Token 133,006,207,955 0.07%
Notcoin 129,463,178,318 0.07%
Fantom 124,930,202,188 0.07%
JasmyCoin 125,085,995,718 0.07%
Theta_Network 122,409,101,901 0.06%
Brett_(Based) 119,392,421,611 0.06%
Bonk 118,750,994,756 0.06%
THORChain 114,434,824,626 0.06%
Aave 108,000,950,582 0.06%
Fetch.ai 104,867,619,891 0.05%
Celestia 103,674,677,771 0.05%
Core 95,404,679,391 0.05%
Algorand 94,708,296,774 0.05%
Pyth_Network 94,029,386,869 0.05%
Flare 92,842,373,224 0.05%
Sei 90,494,098,742 0.05%
Jupiter 86,831,753,414 0.05%
Ethena 80,160,118,247 0.04%
KuCoin_Token 80,104,243,061 0.04%
Quant 79,169,841,623 0.04%
Flow 79,154,561,257 0.04%
Starknet 78,716,996,533 0.04%
Beam 76,286,294,742 0.04%
Pendle 75,115,820,170 0.04%
Gala 73,938,385,663 0.04%
Axie_Infinity 73,286,480,080 0.04%
Bitcoin_SV 72,626,186,657 0.04%
dYdX_(Native) 71,500,383,521 0.04%
Gnosis 71,046,840,443 0.04%
BitTorrent_[New] 70,197,172,593 0.04%
Ethereum_Name_Service 69,855,359,637 0.04%
zkSync 67,550,035,712 0.04%
ORDI 66,701,556,680 0.03%
MultiversX 66,347,940,467 0.03%
Neo 66,074,150,025 0.03%
Ronin 65,738,563,510 0.03%
SingularityNET 65,607,410,455 0.03%
Tezos 64,009,095,521 0.03%
Akash_Network 62,152,698,851 0.03%
GateToken 62,777,496,233 0.03%
The_Sandbox 61,695,343,203 0.03%
USDD 61,257,853,341 0.03%
Nexo 60,210,825,122 0.03%
Chiliz 59,170,138,499 0.03%
Worldcoin 56,882,538,390 0.03%
Wormhole 54,415,546,982 0.03%
Synthetix 54,219,428,924 0.03%
Mina 54,072,454,564 0.03%
